INPUT_TABLE
Variable ID
DeletePassthroughsector_Indiaelec

region,supplysector
India,elec_CSP
India,elec_coal (conv pul)
India,elec_coal (IGCC)
India,elec_coal (conv pul CCS)
India,elec_coal (IGCC CCS)
India,elec_gas (steam/CT)
India,elec_gas (CC)
India,elec_gas (CC CCS)
India,elec_refined liquids (steam/CT)
India,elec_refined liquids (CC)
India,elec_refined liquids (CC CCS)
India,elec_biomass (conv)
India,elec_biomass (IGCC)
India,elec_biomass (conv CCS)
India,elec_biomass (IGCC CCS)
India,elec_Gen_II_LWR
India,elec_Gen_III
India,elec_CSP_storage
India,elec_geothermal
