,,,,,,,calOuputVCalue,efficiency,Value,Total,From the electricity
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,2.024642846,2.0246426
India,electricity,SabarmatiR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,GangesR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,MahiR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,BrahmaniR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,MahanadiR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,GodavariR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,IndCstNE,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,IndCstW,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,IrrawaddyR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,KrishnaR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,IndCstE,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,PennarR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,CauveryR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,IndCstS,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,NarmadaR,coal,coal (conv pul),coal (conv pul) (cooling pond),1990,0,0.340741,0,,
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (dry cooling),1990,0.001465651,0.340741,0.004301364,,
India,electricity,SabarmatiR,coal,coal (conv pul),coal (conv pul) (dry cooling),1990,0.002493284,0.340741,0.007317241,,
India,electricity,GangesR,coal,coal (conv pul),coal (conv pul) (dry cooling),1990,0.007958061,0.340741,0.023355161,,
India,electricity,MahiR,coal,coal (conv pul),coal (conv pul) (dry cooling),1990,0.000161584,0.340741,0.000474214,,
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (dry cooling),1990,4.77E-05,0.340741,0.000139989,,
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (dry cooling),1990,0.000488355,0.340741,0.001433215,,
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (dry cooling),1990,0.000769193,0.340741,0.002257413,,
India,electricity,BrahmaniR,coal,coal (conv pul),coal (conv pul) (dry cooling),1990,0.000441933,0.340741,0.001296976,,
India,electricity,MahanadiR,coal,coal (conv pul),coal (conv pul) (dry cooling),1990,0.001290782,0.340741,0.003788162,,
India,electricity,GodavariR,coal,coal (conv pul),coal (conv pul) (dry cooling),1990,0.002636865,0.340741,0.00773862,,
India,electricity,IndCstNE,coal,coal (conv pul),coal (conv pul) (dry cooling),1990,0.000336324,0.340741,0.000987037,,
India,electricity,IndCstW,coal,coal (conv pul),coal (conv pul) (dry cooling),1990,0.001074968,0.340741,0.003154795,,
