INPUT_TABLE
Variable ID
IndiaElecReserve

region,supplysector,electricity.reserve.margin,average.grid.capacity.factor
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,electricity,0.15,0.6
India,elect_td_bld,0.15,0.6
