INPUT_TABLE
Variable ID
IndiaSubsectorelec_logit

region,supplysector,subsector0,subsector1,logit.year.fillout,logit.exponent,logit.type
India,electricity,IndusR,wind,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,wind,1975,-6,relative.cost.logit
India,electricity,GangesR,wind,1975,-6,relative.cost.logit
India,electricity,MahiR,wind,1975,-6,relative.cost.logit
India,electricity,BengalBay,wind,1975,-6,relative.cost.logit
India,electricity,TaptiR,wind,1975,-6,relative.cost.logit
India,electricity,BengalW,wind,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,wind,1975,-6,relative.cost.logit
India,electricity,MahanadiR,wind,1975,-6,relative.cost.logit
India,electricity,GodavariR,wind,1975,-6,relative.cost.logit
India,electricity,IndCstNE,wind,1975,-6,relative.cost.logit
India,electricity,IndCstW,wind,1975,-6,relative.cost.logit
India,electricity,IrrawaddyR,wind,1975,-6,relative.cost.logit
India,electricity,KrishnaR,wind,1975,-6,relative.cost.logit
India,electricity,IndCstE,wind,1975,-6,relative.cost.logit
India,electricity,PennarR,wind,1975,-6,relative.cost.logit
India,electricity,CauveryR,wind,1975,-6,relative.cost.logit
India,electricity,IndCstS,wind,1975,-6,relative.cost.logit
India,electricity,NarmadaR,wind,1975,-6,relative.cost.logit
India,electricity,IndusR,solar,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,solar,1975,-6,relative.cost.logit
India,electricity,GangesR,solar,1975,-6,relative.cost.logit
India,electricity,MahiR,solar,1975,-6,relative.cost.logit
India,electricity,BengalBay,solar,1975,-6,relative.cost.logit
India,electricity,TaptiR,solar,1975,-6,relative.cost.logit
India,electricity,BengalW,solar,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,solar,1975,-6,relative.cost.logit
India,electricity,MahanadiR,solar,1975,-6,relative.cost.logit
India,electricity,GodavariR,solar,1975,-6,relative.cost.logit
India,electricity,IndCstNE,solar,1975,-6,relative.cost.logit
India,electricity,IndCstW,solar,1975,-6,relative.cost.logit
India,electricity,IrrawaddyR,solar,1975,-6,relative.cost.logit
India,electricity,KrishnaR,solar,1975,-6,relative.cost.logit
India,electricity,IndCstE,solar,1975,-6,relative.cost.logit
India,electricity,PennarR,solar,1975,-6,relative.cost.logit
India,electricity,CauveryR,solar,1975,-6,relative.cost.logit
India,electricity,IndCstS,solar,1975,-6,relative.cost.logit
India,electricity,NarmadaR,solar,1975,-6,relative.cost.logit
India,electricity,IndusR,coal,1975,-10,relative.cost.logit
India,electricity,SabarmatiR,coal,1975,-10,relative.cost.logit
India,electricity,GangesR,coal,1975,-10,relative.cost.logit
India,electricity,MahiR,coal,1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,1975,-10,relative.cost.logit
India,electricity,BengalW,coal,1975,-10,relative.cost.logit
India,electricity,BrahmaniR,coal,1975,-10,relative.cost.logit
India,electricity,MahanadiR,coal,1975,-10,relative.cost.logit
India,electricity,GodavariR,coal,1975,-10,relative.cost.logit
India,electricity,IndCstNE,coal,1975,-10,relative.cost.logit
India,electricity,IndCstW,coal,1975,-10,relative.cost.logit
India,electricity,IrrawaddyR,coal,1975,-10,relative.cost.logit
India,electricity,KrishnaR,coal,1975,-10,relative.cost.logit
India,electricity,IndCstE,coal,1975,-10,relative.cost.logit
India,electricity,PennarR,coal,1975,-10,relative.cost.logit
India,electricity,CauveryR,coal,1975,-10,relative.cost.logit
India,electricity,IndCstS,coal,1975,-10,relative.cost.logit
India,electricity,NarmadaR,coal,1975,-10,relative.cost.logit
India,electricity,IndusR,gas,1975,-10,relative.cost.logit
India,electricity,SabarmatiR,gas,1975,-10,relative.cost.logit
India,electricity,GangesR,gas,1975,-10,relative.cost.logit
India,electricity,MahiR,gas,1975,-10,relative.cost.logit
India,electricity,BengalBay,gas,1975,-10,relative.cost.logit
India,electricity,TaptiR,gas,1975,-10,relative.cost.logit
India,electricity,BengalW,gas,1975,-10,relative.cost.logit
India,electricity,BrahmaniR,gas,1975,-10,relative.cost.logit
India,electricity,MahanadiR,gas,1975,-10,relative.cost.logit
India,electricity,GodavariR,gas,1975,-10,relative.cost.logit
