INPUT_TABLE
Variable ID
IndiaBasinelecLogit

region,supplysector,nesting.subsector,logit.year.fillout,logit.exponent,logit.type
India,electricity,IndusR,1975,-3,relative-cost-logit
India,electricity,SabarmatiR,1975,-3,relative-cost-logit
India,electricity,GangesR,1975,-3,relative-cost-logit
India,electricity,MahiR,1975,-3,relative-cost-logit
India,electricity,BengalBay,1975,-3,relative-cost-logit
India,electricity,TaptiR,1975,-3,relative-cost-logit
India,electricity,BengalW,1975,-3,relative-cost-logit
India,electricity,BrahmaniR,1975,-3,relative-cost-logit
India,electricity,MahanadiR,1975,-3,relative-cost-logit
India,electricity,GodavariR,1975,-3,relative-cost-logit
India,electricity,IndCstNE,1975,-3,relative-cost-logit
India,electricity,IndCstW,1975,-3,relative-cost-logit
India,electricity,IrrawaddyR,1975,-3,relative-cost-logit
India,electricity,KrishnaR,1975,-3,relative-cost-logit
India,electricity,IndCstE,1975,-3,relative-cost-logit
India,electricity,PennarR,1975,-3,relative-cost-logit
India,electricity,CauveryR,1975,-3,relative-cost-logit
India,electricity,IndCstS,1975,-3,relative-cost-logit
India,electricity,NarmadaR,1975,-3,relative-cost-logit
India,elect_td_bld,IndusR,1975,-3,relative-cost-logit
India,elect_td_bld,SabarmatiR,1975,-3,relative-cost-logit
India,elect_td_bld,GangesR,1975,-3,relative-cost-logit
India,elect_td_bld,MahiR,1975,-3,relative-cost-logit
India,elect_td_bld,BengalBay,1975,-3,relative-cost-logit
India,elect_td_bld,TaptiR,1975,-3,relative-cost-logit
India,elect_td_bld,BengalW,1975,-3,relative-cost-logit
India,elect_td_bld,BrahmaniR,1975,-3,relative-cost-logit
India,elect_td_bld,MahanadiR,1975,-3,relative-cost-logit
India,elect_td_bld,GodavariR,1975,-3,relative-cost-logit
India,elect_td_bld,IndCstNE,1975,-3,relative-cost-logit
India,elect_td_bld,IndCstW,1975,-3,relative-cost-logit
India,elect_td_bld,IrrawaddyR,1975,-3,relative-cost-logit
India,elect_td_bld,KrishnaR,1975,-3,relative-cost-logit
India,elect_td_bld,IndCstE,1975,-3,relative-cost-logit
India,elect_td_bld,PennarR,1975,-3,relative-cost-logit
India,elect_td_bld,CauveryR,1975,-3,relative-cost-logit
India,elect_td_bld,IndCstS,1975,-3,relative-cost-logit
India,elect_td_bld,NarmadaR,1975,-3,relative-cost-logit
