INPUT_TABLE
Variable ID
Indiacoolingelec_logit

region,supplysector,subsector0,subsector1,subsector,stub.technology,logit.year.fillout,logit.exponent,logit.type
India,electricity,IndusR,wind,wind,wind,1975,-6,relative.cost.logit
India,electricity,IndusR,wind,wind,wind_offshore,1975,-6,relative.cost.logit
India,electricity,IndusR,wind,wind,wind_storage,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,wind,wind,wind,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,wind,wind,wind_offshore,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,wind,wind,wind_storage,1975,-6,relative.cost.logit
India,electricity,GangesR,wind,wind,wind,1975,-6,relative.cost.logit
India,electricity,GangesR,wind,wind,wind_offshore,1975,-6,relative.cost.logit
India,electricity,GangesR,wind,wind,wind_storage,1975,-6,relative.cost.logit
India,electricity,MahiR,wind,wind,wind,1975,-6,relative.cost.logit
India,electricity,MahiR,wind,wind,wind_offshore,1975,-6,relative.cost.logit
India,electricity,MahiR,wind,wind,wind_storage,1975,-6,relative.cost.logit
India,electricity,BengalBay,wind,wind,wind,1975,-6,relative.cost.logit
India,electricity,BengalBay,wind,wind,wind_offshore,1975,-6,relative.cost.logit
India,electricity,BengalBay,wind,wind,wind_storage,1975,-6,relative.cost.logit
India,electricity,TaptiR,wind,wind,wind,1975,-6,relative.cost.logit
India,electricity,TaptiR,wind,wind,wind_offshore,1975,-6,relative.cost.logit
India,electricity,TaptiR,wind,wind,wind_storage,1975,-6,relative.cost.logit
India,electricity,BengalW,wind,wind,wind,1975,-6,relative.cost.logit
India,electricity,BengalW,wind,wind,wind_offshore,1975,-6,relative.cost.logit
India,electricity,BengalW,wind,wind,wind_storage,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,wind,wind,wind,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,wind,wind,wind_offshore,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,wind,wind,wind_storage,1975,-6,relative.cost.logit
India,electricity,MahanadiR,wind,wind,wind,1975,-6,relative.cost.logit
India,electricity,MahanadiR,wind,wind,wind_offshore,1975,-6,relative.cost.logit
India,electricity,MahanadiR,wind,wind,wind_storage,1975,-6,relative.cost.logit
India,electricity,GodavariR,wind,wind,wind,1975,-6,relative.cost.logit
India,electricity,GodavariR,wind,wind,wind_offshore,1975,-6,relative.cost.logit
India,electricity,GodavariR,wind,wind,wind_storage,1975,-6,relative.cost.logit
India,electricity,IndCstNE,wind,wind,wind,1975,-6,relative.cost.logit
India,electricity,IndCstNE,wind,wind,wind_offshore,1975,-6,relative.cost.logit
India,electricity,IndCstNE,wind,wind,wind_storage,1975,-6,relative.cost.logit
India,electricity,IndCstW,wind,wind,wind,1975,-6,relative.cost.logit
India,electricity,IndCstW,wind,wind,wind_offshore,1975,-6,relative.cost.logit
India,electricity,IndCstW,wind,wind,wind_storage,1975,-6,relative.cost.logit
