INPUT_TABLE
Variable ID
India_water_Inttechcoef

region,supplysector,subsector0,subsector1,subsector,stub.technology,year,minicam.energy.input,coefficient,market.name
India,electricity,SabarmatiR,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,GangesR,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,MahiR,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,TaptiR,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,BengalW,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,BrahmaniR,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,MahanadiR,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,GodavariR,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,IndCstNE,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,IndCstW,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,KrishnaR,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,IndCstE,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,PennarR,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,CauveryR,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,IndCstS,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,NarmadaR,solar,solar,PV,1975,water_td_elec_W,0.0055556,India
India,electricity,SabarmatiR,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,GangesR,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,MahiR,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,TaptiR,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,BengalW,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,BrahmaniR,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,MahanadiR,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,GodavariR,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,IndCstNE,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,IndCstW,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,KrishnaR,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,IndCstE,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,PennarR,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,CauveryR,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,IndCstS,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,NarmadaR,solar,solar,PV,1990,water_td_elec_W,0.0055556,India
India,electricity,SabarmatiR,solar,solar,PV,2005,water_td_elec_W,0.0055556,India
India,electricity,GangesR,solar,solar,PV,2005,water_td_elec_W,0.0055556,India
