INPUT_TABLE
Variable ID
Indiaplantelec_logit

region,supplysector,subsector0,subsector1,subsector,logit.year.fillout,logit.exponent,logit.type
India,electricity,SabarmatiR,wind,wind,1975,-6,relative.cost.logit
India,electricity,GangesR,wind,wind,1975,-6,relative.cost.logit
India,electricity,MahiR,wind,wind,1975,-6,relative.cost.logit
India,electricity,TaptiR,wind,wind,1975,-6,relative.cost.logit
India,electricity,BengalW,wind,wind,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,wind,wind,1975,-6,relative.cost.logit
India,electricity,MahanadiR,wind,wind,1975,-6,relative.cost.logit
India,electricity,GodavariR,wind,wind,1975,-6,relative.cost.logit
India,electricity,IndCstNE,wind,wind,1975,-6,relative.cost.logit
India,electricity,IndCstW,wind,wind,1975,-6,relative.cost.logit
India,electricity,KrishnaR,wind,wind,1975,-6,relative.cost.logit
India,electricity,IndCstE,wind,wind,1975,-6,relative.cost.logit
India,electricity,PennarR,wind,wind,1975,-6,relative.cost.logit
India,electricity,CauveryR,wind,wind,1975,-6,relative.cost.logit
India,electricity,IndCstS,wind,wind,1975,-6,relative.cost.logit
India,electricity,NarmadaR,wind,wind,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,solar,solar,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,solar,CSP,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,solar,CSP_storage,1975,-6,relative.cost.logit
India,electricity,GangesR,solar,solar,1975,-6,relative.cost.logit
India,electricity,GangesR,solar,CSP,1975,-6,relative.cost.logit
India,electricity,GangesR,solar,CSP_storage,1975,-6,relative.cost.logit
India,electricity,MahiR,solar,solar,1975,-6,relative.cost.logit
India,electricity,MahiR,solar,CSP,1975,-6,relative.cost.logit
India,electricity,MahiR,solar,CSP_storage,1975,-6,relative.cost.logit
India,electricity,TaptiR,solar,solar,1975,-6,relative.cost.logit
India,electricity,TaptiR,solar,CSP,1975,-6,relative.cost.logit
India,electricity,TaptiR,solar,CSP_storage,1975,-6,relative.cost.logit
India,electricity,BengalW,solar,solar,1975,-6,relative.cost.logit
India,electricity,BengalW,solar,CSP,1975,-6,relative.cost.logit
India,electricity,BengalW,solar,CSP_storage,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,solar,solar,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,solar,CSP,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,solar,CSP_storage,1975,-6,relative.cost.logit
India,electricity,MahanadiR,solar,solar,1975,-6,relative.cost.logit
India,electricity,MahanadiR,solar,CSP,1975,-6,relative.cost.logit
India,electricity,MahanadiR,solar,CSP_storage,1975,-6,relative.cost.logit
India,electricity,GodavariR,solar,solar,1975,-6,relative.cost.logit
India,electricity,GodavariR,solar,CSP,1975,-6,relative.cost.logit
India,electricity,GodavariR,solar,CSP_storage,1975,-6,relative.cost.logit
India,electricity,IndCstNE,solar,solar,1975,-6,relative.cost.logit
India,electricity,IndCstNE,solar,CSP,1975,-6,relative.cost.logit
India,electricity,IndCstNE,solar,CSP_storage,1975,-6,relative.cost.logit
