INPUT_TABLE
Variable ID
ShellConductance

region,gcam.consumer,nodeInput,building.node.input,year,shell.conductance,shell.year,floor.to.surface.ratio
India,comm,comm,comm_building,1975,1.905,1975,5.5
India,comm,comm,comm_building,1990,1.731,1990,5.5
India,comm,comm,comm_building,2005,1.57,2005,5.5
India,comm,comm,comm_building,2010,1.499,2010,5.5
India,comm,comm,comm_building,2015,1.429,2015,5.5
India,comm,comm,comm_building,2020,0.0681,2020,5.5
India,comm,comm,comm_building,2025,0.06535,2025,5.5
India,comm,comm,comm_building,2030,0.06265,2030,5.5
India,comm,comm,comm_building,2035,0.06005,2035,5.5
India,comm,comm,comm_building,2040,0.05785,2040,5.5
India,comm,comm,comm_building,2045,0.0557,2045,5.5
India,comm,comm,comm_building,2050,0.05365,2050,5.5
India,comm,comm,comm_building,2055,0.05185,2055,5.5
India,comm,comm,comm_building,2060,1.4028,2060,5.5
India,comm,comm,comm_building,2065,1.3552,2065,5.5
India,comm,comm,comm_building,2070,1.3146,2070,5.5
India,comm,comm,comm_building,2075,1.2754,2075,5.5
India,comm,comm,comm_building,2080,1.2362,2080,5.5
India,comm,comm,comm_building,2085,1.1998,2085,5.5
India,comm,comm,comm_building,2090,1.1662,2090,5.5
India,comm,comm,comm_building,2095,1.1312,2095,5.5
India,comm,comm,comm_building,2100,1.1088,2100,5.5
India,resid,resid,resid_building,1975,1.929,1975,5.5
India,resid,resid,resid_building,1990,1.739,1990,5.5
India,resid,resid,resid_building,2005,1.566,2005,5.5
India,resid,resid,resid_building,2010,1.491,2010,5.5
India,resid,resid,resid_building,2015,1.419,2015,5.5
India,resid,resid,resid_building,2020,0.06745,2020,5.5
India,resid,resid,resid_building,2025,0.0645,2025,5.5
India,resid,resid,resid_building,2030,0.0617,2030,5.5
India,resid,resid,resid_building,2035,0.059,2035,5.5
India,resid,resid,resid_building,2040,0.0567,2040,5.5
India,resid,resid,resid_building,2045,0.0545,2045,5.5
India,resid,resid,resid_building,2050,0.05235,2050,5.5
India,resid,resid,resid_building,2055,0.05045,2055,5.5
India,resid,resid,resid_building,2060,1.3622,2060,5.5
India,resid,resid,resid_building,2065,1.3118,2065,5.5
India,resid,resid,resid_building,2070,1.2698,2070,5.5
India,resid,resid,resid_building,2075,1.2278,2075,5.5
India,resid,resid,resid_building,2080,1.1872,2080,5.5
India,resid,resid,resid_building,2085,1.1508,2085,5.5
India,resid,resid,resid_building,2090,1.1144,2090,5.5
India,resid,resid,resid_building,2095,1.0794,2095,5.5
India,resid,resid,resid_building,2100,1.0556,2100,5.5
