INPUT_TABLE
Variable ID
BasinCostAdder

region,supplysector,subsector0,subsector1,subsector,stub.technology,year,minicam-non-energy-input,input-cost
India,electricity,SabarmatiR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,2.657880359
India,electricity,GangesR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,4.629595922
India,electricity,MahiR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.286416901
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.234989642
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.313640519
India,electricity,BrahmaniR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.150021201
India,electricity,MahanadiR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.408892964
India,electricity,GodavariR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.847284109
India,electricity,IndCstNE,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.257329474
India,electricity,IndCstW,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.263673399
India,electricity,IrrawaddyR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0
India,electricity,KrishnaR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.965091912
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.783780328
India,electricity,IndCstE,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.590147657
India,electricity,PennarR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.522614723
India,electricity,CauveryR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.877810587
India,electricity,IndCstS,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.496777042
India,electricity,NarmadaR,coal,coal (conv pul),coal (conv pul) (once through),2025,tax,0.268787191
India,electricity,SabarmatiR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,2.657880359
India,electricity,GangesR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,4.629595922
India,electricity,MahiR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.286416901
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.234989642
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.313640519
India,electricity,BrahmaniR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.150021201
India,electricity,MahanadiR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.408892964
India,electricity,GodavariR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.847284109
India,electricity,IndCstNE,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.257329474
India,electricity,IndCstW,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.263673399
India,electricity,IrrawaddyR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0
India,electricity,KrishnaR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.965091912
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.783780328
India,electricity,IndCstE,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.590147657
India,electricity,PennarR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.522614723
India,electricity,CauveryR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.877810587
India,electricity,IndCstS,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.496777042
India,electricity,NarmadaR,coal,coal (conv pul),coal (conv pul) (once through),2030,tax,0.268787191
India,electricity,SabarmatiR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,2.657880359
India,electricity,GangesR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,4.629595922
India,electricity,MahiR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.286416901
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.234989642
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.313640519
India,electricity,BrahmaniR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.150021201
India,electricity,MahanadiR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.408892964
India,electricity,GodavariR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.847284109
India,electricity,IndCstNE,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.257329474
India,electricity,IndCstW,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.263673399
India,electricity,IrrawaddyR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0
India,electricity,KrishnaR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.965091912
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.783780328
India,electricity,IndCstE,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.590147657
India,electricity,PennarR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.522614723
India,electricity,CauveryR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.877810587
India,electricity,IndCstS,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.496777042
India,electricity,NarmadaR,coal,coal (conv pul),coal (conv pul) (once through),2035,tax,0.268787191
India,electricity,SabarmatiR,coal,coal (conv pul),coal (conv pul) (once through),2040,tax,2.657880359
India,electricity,GangesR,coal,coal (conv pul),coal (conv pul) (once through),2040,tax,4.629595922
India,electricity,MahiR,coal,coal (conv pul),coal (conv pul) (once through),2040,tax,0.286416901
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (once through),2040,tax,0
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (once through),2040,tax,0.234989642
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (once through),2040,tax,0.313640519
India,electricity,BrahmaniR,coal,coal (conv pul),coal (conv pul) (once through),2040,tax,0.150021201
India,electricity,MahanadiR,coal,coal (conv pul),coal (conv pul) (once through),2040,tax,0.408892964
India,electricity,GodavariR,coal,coal (conv pul),coal (conv pul) (once through),2040,tax,0.847284109
India,electricity,IndCstNE,coal,coal (conv pul),coal (conv pul) (once through),2040,tax,0.257329474
India,electricity,IndCstW,coal,coal (conv pul),coal (conv pul) (once through),2040,tax,0.263673399
